SKU,Product_Name,Category,Sub_Category,Weight_kg,Volume_cbm,Base_Demand_Min,Base_Demand_Max,Avg_Daily_Demand,ROP,Target_Level
SKU0025,Aanya Georgette Saree,Dress,Georgette Saree,0.45,0.002,5,15,8.0,82,138
SKU0026,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.79,0.012,3,10,5.2,54,90
SKU0027,Celeste Canvas Belt,Accessories,Canvas Belt,0.27,0.0051,8,25,13.200000000000001,136,228
SKU0028,Zoya Cotton Kurta,Dress,Cotton Kurta,0.35,0.0055,5,15,8.0,82,138
SKU0029,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.96,0.0025,8,25,13.200000000000001,136,228
SKU0030,Aanya Cotton Kurta,Dress,Cotton Kurta,0.91,0.0034,5,15,8.0,82,138
SKU0031,Aanya Silk Anarkali,Dress,Silk Anarkali,0.86,0.0045,5,15,8.0,82,138
SKU0032,Eon Analog Watch,Accessories,Analog Watch,0.28,0.0146,8,25,13.200000000000001,136,228
SKU0033,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.42,0.0059,5,15,8.0,82,138
SKU0034,Vector Ethnic Juttis,Shoes,Ethnic Juttis,0.51,0.0112,3,10,5.2,54,90
SKU0035,Aura Leather Handbag,Accessories,Leather Handbag,0.58,0.0106,8,25,13.200000000000001,136,228
SKU0036,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,1.09,0.0042,5,15,8.0,82,138
SKU0037,Zoya Georgette Saree,Dress,Georgette Saree,0.85,0.0079,5,15,8.0,82,138
SKU0038,Eon Leather Handbag,Accessories,Leather Handbag,0.94,0.003,8,25,13.200000000000001,136,228
SKU0039,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,1.1,0.0065,5,15,8.0,82,138
SKU0040,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.84,0.0063,5,15,8.0,82,138
SKU0041,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.53,0.0074,5,15,8.0,82,138
SKU0042,Elara Cotton Kurta,Dress,Cotton Kurta,1.05,0.0023,5,15,8.0,82,138
SKU0043,Nova Canvas Sneakers,Shoes,Canvas Sneakers,0.66,0.0094,3,10,5.2,54,90
SKU0044,Aura Canvas Belt,Accessories,Canvas Belt,0.2,0.019,8,25,13.200000000000001,136,228
SKU0045,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.85,0.0121,8,25,13.200000000000001,136,228
SKU0046,Riya Georgette Saree,Dress,Georgette Saree,0.34,0.0042,5,15,8.0,82,138
SKU0047,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.91,0.006,5,15,8.0,82,138
SKU0048,Orion Block Heels,Shoes,Block Heels,1.43,0.0074,3,10,5.2,54,90
SKU0049,Elara Silk Anarkali,Dress,Silk Anarkali,0.32,0.0064,5,15,8.0,82,138
SKU0050,Orion Block Heels,Shoes,Block Heels,0.77,0.0129,3,10,5.2,54,90
SKU0051,Aanya Georgette Saree,Dress,Georgette Saree,1.07,0.0033,5,15,8.0,82,138
SKU0052,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.32,0.0137,3,10,5.2,54,90
SKU0053,Riya Cotton Kurta,Dress,Cotton Kurta,0.66,0.0037,5,15,8.0,82,138
SKU0054,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.88,0.0044,5,15,8.0,82,138
SKU0055,Aura Analog Watch,Accessories,Analog Watch,0.2,0.0194,8,25,13.200000000000001,136,228
SKU0056,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,0.4,0.0046,5,15,8.0,82,138
SKU0057,Luna Analog Watch,Accessories,Analog Watch,0.65,0.0107,8,25,13.200000000000001,136,228
SKU0058,Nova Canvas Sneakers,Shoes,Canvas Sneakers,0.54,0.0094,3,10,5.2,54,90
SKU0059,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.49,0.019,8,25,13.200000000000001,136,228
SKU0060,Vector Ethnic Juttis,Shoes,Ethnic Juttis,1.22,0.008,3,10,5.2,54,90
SKU0061,Nova Block Heels,Shoes,Block Heels,0.9,0.008,3,10,5.2,54,90
SKU0062,Elara Silk Anarkali,Dress,Silk Anarkali,0.9,0.0043,5,15,8.0,82,138
SKU0063,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.47,0.0168,8,25,13.200000000000001,136,228
SKU0064,Orion Ethnic Juttis,Shoes,Ethnic Juttis,0.93,0.0108,3,10,5.2,54,90
SKU0065,Luna Analog Watch,Accessories,Analog Watch,0.5,0.0138,8,25,13.200000000000001,136,228
SKU0066,Celeste Canvas Belt,Accessories,Canvas Belt,0.69,0.0064,8,25,13.200000000000001,136,228
SKU0067,Aura Analog Watch,Accessories,Analog Watch,0.84,0.0153,8,25,13.200000000000001,136,228
SKU0068,Celeste Analog Watch,Accessories,Analog Watch,0.83,0.0038,8,25,13.200000000000001,136,228
SKU0069,Elara Silk Anarkali,Dress,Silk Anarkali,0.85,0.0066,5,15,8.0,82,138
SKU0070,Orion Block Heels,Shoes,Block Heels,1.22,0.0088,3,10,5.2,54,90
SKU0071,Orion Canvas Sneakers,Shoes,Canvas Sneakers,1.16,0.0051,3,10,5.2,54,90
SKU0072,Riya Georgette Saree,Dress,Georgette Saree,0.46,0.0077,5,15,8.0,82,138
SKU0073,Aura Canvas Belt,Accessories,Canvas Belt,0.6,0.0184,8,25,13.200000000000001,136,228
SKU0074,Riya Georgette Saree,Dress,Georgette Saree,1.02,0.006,5,15,8.0,82,138
SKU0075,Luna Analog Watch,Accessories,Analog Watch,0.65,0.0147,8,25,13.200000000000001,136,228
SKU0076,Luna Canvas Belt,Accessories,Canvas Belt,0.91,0.0151,8,25,13.200000000000001,136,228
SKU0077,Nova Block Heels,Shoes,Block Heels,1.25,0.0134,3,10,5.2,54,90
SKU0078,Orion Block Heels,Shoes,Block Heels,0.77,0.0058,3,10,5.2,54,90
SKU0079,Nova Canvas Sneakers,Shoes,Canvas Sneakers,0.84,0.0139,3,10,5.2,54,90
SKU0080,Riya Silk Anarkali,Dress,Silk Anarkali,0.51,0.0062,5,15,8.0,82,138
SKU0081,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.47,0.0073,8,25,13.200000000000001,136,228
SKU0082,Vector Block Heels,Shoes,Block Heels,0.71,0.0092,3,10,5.2,54,90
SKU0083,Luna Leather Handbag,Accessories,Leather Handbag,0.53,0.0189,8,25,13.200000000000001,136,228
SKU0084,Apex Block Heels,Shoes,Block Heels,1.04,0.0123,3,10,5.2,54,90
SKU0085,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.3,0.0093,8,25,13.200000000000001,136,228
SKU0086,Zoya Georgette Saree,Dress,Georgette Saree,0.9,0.0068,5,15,8.0,82,138
SKU0087,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.93,0.0196,8,25,13.200000000000001,136,228
SKU0088,Luna Leather Handbag,Accessories,Leather Handbag,0.63,0.0136,8,25,13.200000000000001,136,228
SKU0089,Riya Georgette Saree,Dress,Georgette Saree,1.08,0.0031,5,15,8.0,82,138
SKU0090,Nova Block Heels,Shoes,Block Heels,0.71,0.0083,3,10,5.2,54,90
SKU0091,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.75,0.0058,3,10,5.2,54,90
SKU0092,Zoya Cotton Kurta,Dress,Cotton Kurta,0.5,0.0024,5,15,8.0,82,138
SKU0093,Aura Leather Handbag,Accessories,Leather Handbag,0.95,0.0048,8,25,13.200000000000001,136,228
SKU0094,Riya Silk Anarkali,Dress,Silk Anarkali,0.41,0.006,5,15,8.0,82,138
SKU0095,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.73,0.0156,8,25,13.200000000000001,136,228
SKU0096,Riya Cotton Kurta,Dress,Cotton Kurta,1.17,0.0026,5,15,8.0,82,138
SKU0097,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.66,0.0063,5,15,8.0,82,138
SKU0098,Aanya Silk Anarkali,Dress,Silk Anarkali,0.93,0.0038,5,15,8.0,82,138
SKU0099,Aura Leather Handbag,Accessories,Leather Handbag,0.41,0.0091,8,25,13.200000000000001,136,228
SKU0100,Nova Leather Loafers,Shoes,Leather Loafers,0.51,0.0092,3,10,5.2,54,90
SKU0101,Apex Leather Loafers,Shoes,Leather Loafers,1.46,0.0114,3,10,5.2,54,90
SKU0102,Apex Canvas Sneakers,Shoes,Canvas Sneakers,0.68,0.0102,3,10,5.2,54,90
SKU0103,Luna Analog Watch,Accessories,Analog Watch,0.52,0.0167,8,25,13.200000000000001,136,228
SKU0104,Eon Analog Watch,Accessories,Analog Watch,0.87,0.0168,8,25,13.200000000000001,136,228
SKU0105,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.52,0.0048,5,15,8.0,82,138
SKU0106,Eon Canvas Belt,Accessories,Canvas Belt,0.13,0.0172,8,25,13.200000000000001,136,228
SKU0107,Riya Georgette Saree,Dress,Georgette Saree,0.62,0.0036,5,15,8.0,82,138
SKU0108,Vector Ethnic Juttis,Shoes,Ethnic Juttis,1.02,0.0069,3,10,5.2,54,90
SKU0109,Elara Georgette Saree,Dress,Georgette Saree,0.8,0.0034,5,15,8.0,82,138
SKU0110,Apex Block Heels,Shoes,Block Heels,1.29,0.0059,3,10,5.2,54,90
SKU0111,Riya Georgette Saree,Dress,Georgette Saree,0.58,0.0055,5,15,8.0,82,138
SKU0112,Apex Ethnic Juttis,Shoes,Ethnic Juttis,1.5,0.0105,3,10,5.2,54,90
SKU0113,Nova Block Heels,Shoes,Block Heels,0.81,0.0073,3,10,5.2,54,90
SKU0114,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.21,0.0112,8,25,13.200000000000001,136,228
SKU0115,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.29,0.0102,8,25,13.200000000000001,136,228
SKU0116,Aura Analog Watch,Accessories,Analog Watch,0.85,0.0066,8,25,13.200000000000001,136,228
SKU0117,Nova Canvas Sneakers,Shoes,Canvas Sneakers,0.51,0.0103,3,10,5.2,54,90
SKU0118,Vector Leather Loafers,Shoes,Leather Loafers,1.05,0.012,3,10,5.2,54,90
SKU0119,Aanya Georgette Saree,Dress,Georgette Saree,1.09,0.0054,5,15,8.0,82,138
SKU0120,Apex Block Heels,Shoes,Block Heels,0.84,0.0147,3,10,5.2,54,90
SKU0121,Vector Block Heels,Shoes,Block Heels,1.32,0.009,3,10,5.2,54,90
SKU0122,Riya Cotton Kurta,Dress,Cotton Kurta,0.43,0.0054,5,15,8.0,82,138
SKU0123,Orion Leather Loafers,Shoes,Leather Loafers,0.62,0.0126,3,10,5.2,54,90
SKU0124,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.51,0.0094,8,25,13.200000000000001,136,228
SKU0125,Eon Canvas Belt,Accessories,Canvas Belt,0.61,0.0021,8,25,13.200000000000001,136,228
SKU0126,Celeste Leather Handbag,Accessories,Leather Handbag,0.66,0.006,8,25,13.200000000000001,136,228
SKU0127,Riya Silk Anarkali,Dress,Silk Anarkali,0.46,0.0025,5,15,8.0,82,138
SKU0128,Elara Georgette Saree,Dress,Georgette Saree,0.92,0.0048,5,15,8.0,82,138
SKU0129,Zoya Silk Anarkali,Dress,Silk Anarkali,0.94,0.0062,5,15,8.0,82,138
SKU0130,Orion Leather Loafers,Shoes,Leather Loafers,1.42,0.0129,3,10,5.2,54,90
SKU0131,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.2,0.0053,8,25,13.200000000000001,136,228
SKU0132,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.36,0.003,5,15,8.0,82,138
SKU0133,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.62,0.0119,3,10,5.2,54,90
SKU0134,Eon Canvas Belt,Accessories,Canvas Belt,0.55,0.0104,8,25,13.200000000000001,136,228
SKU0135,Elara Cotton Kurta,Dress,Cotton Kurta,0.96,0.0056,5,15,8.0,82,138
SKU0136,Riya Cotton Kurta,Dress,Cotton Kurta,1.17,0.007,5,15,8.0,82,138
SKU0137,Eon Leather Handbag,Accessories,Leather Handbag,0.62,0.0155,8,25,13.200000000000001,136,228
SKU0138,Elara Georgette Saree,Dress,Georgette Saree,1.12,0.0031,5,15,8.0,82,138
SKU0139,Luna Canvas Belt,Accessories,Canvas Belt,0.97,0.0099,8,25,13.200000000000001,136,228
SKU0140,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.17,0.0136,3,10,5.2,54,90
SKU0141,Apex Block Heels,Shoes,Block Heels,0.79,0.0145,3,10,5.2,54,90
SKU0142,Luna Leather Handbag,Accessories,Leather Handbag,0.18,0.0058,8,25,13.200000000000001,136,228
SKU0143,Aanya Georgette Saree,Dress,Georgette Saree,0.89,0.0053,5,15,8.0,82,138
SKU0144,Orion Leather Loafers,Shoes,Leather Loafers,1.02,0.0112,3,10,5.2,54,90
SKU0145,Vector Block Heels,Shoes,Block Heels,0.7,0.0105,3,10,5.2,54,90
SKU0146,Apex Block Heels,Shoes,Block Heels,0.62,0.0147,3,10,5.2,54,90
SKU0147,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.38,0.0013,8,25,13.200000000000001,136,228
SKU0148,Orion Leather Loafers,Shoes,Leather Loafers,1.49,0.0141,3,10,5.2,54,90
SKU0149,Orion Leather Loafers,Shoes,Leather Loafers,1.0,0.0122,3,10,5.2,54,90
SKU0150,Luna Analog Watch,Accessories,Analog Watch,0.85,0.0196,8,25,13.200000000000001,136,228
SKU0151,Riya Georgette Saree,Dress,Georgette Saree,0.65,0.0075,5,15,8.0,82,138
SKU0152,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.35,0.016,8,25,13.200000000000001,136,228
SKU0153,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.32,0.0078,3,10,5.2,54,90
SKU0154,Orion Block Heels,Shoes,Block Heels,0.95,0.0098,3,10,5.2,54,90
SKU0155,Apex Block Heels,Shoes,Block Heels,1.43,0.0137,3,10,5.2,54,90
SKU0156,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.31,0.0157,8,25,13.200000000000001,136,228
SKU0157,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.93,0.0069,5,15,8.0,82,138
SKU0158,Apex Canvas Sneakers,Shoes,Canvas Sneakers,1.46,0.0063,3,10,5.2,54,90
SKU0159,Aura Analog Watch,Accessories,Analog Watch,0.89,0.0094,8,25,13.200000000000001,136,228
SKU0160,Aura Canvas Belt,Accessories,Canvas Belt,0.75,0.0088,8,25,13.200000000000001,136,228
SKU0161,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.52,0.0194,8,25,13.200000000000001,136,228
SKU0162,Vector Block Heels,Shoes,Block Heels,1.35,0.0135,3,10,5.2,54,90
SKU0163,Eon Canvas Belt,Accessories,Canvas Belt,0.66,0.0179,8,25,13.200000000000001,136,228
SKU0164,Vector Leather Loafers,Shoes,Leather Loafers,0.73,0.0118,3,10,5.2,54,90
SKU0165,Vector Canvas Sneakers,Shoes,Canvas Sneakers,0.93,0.006,3,10,5.2,54,90
SKU0166,Luna Leather Handbag,Accessories,Leather Handbag,0.25,0.0067,8,25,13.200000000000001,136,228
SKU0167,Zoya Cotton Kurta,Dress,Cotton Kurta,1.02,0.0038,5,15,8.0,82,138
SKU0168,Orion Block Heels,Shoes,Block Heels,0.74,0.0091,3,10,5.2,54,90
SKU0169,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.26,0.0126,8,25,13.200000000000001,136,228
SKU0170,Apex Canvas Sneakers,Shoes,Canvas Sneakers,1.41,0.0064,3,10,5.2,54,90
SKU0171,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.76,0.0051,3,10,5.2,54,90
SKU0172,Orion Ethnic Juttis,Shoes,Ethnic Juttis,0.57,0.0145,3,10,5.2,54,90
SKU0173,Luna Analog Watch,Accessories,Analog Watch,0.72,0.0097,8,25,13.200000000000001,136,228
SKU0174,Apex Canvas Sneakers,Shoes,Canvas Sneakers,1.35,0.0061,3,10,5.2,54,90
SKU0175,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.49,0.008,3,10,5.2,54,90
SKU0176,Eon Canvas Belt,Accessories,Canvas Belt,0.11,0.0174,8,25,13.200000000000001,136,228
SKU0177,Luna Leather Handbag,Accessories,Leather Handbag,0.85,0.0182,8,25,13.200000000000001,136,228
SKU0178,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.87,0.0057,5,15,8.0,82,138
SKU0179,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.91,0.0133,8,25,13.200000000000001,136,228
SKU0180,Vector Block Heels,Shoes,Block Heels,1.08,0.0123,3,10,5.2,54,90
SKU0181,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.97,0.0031,5,15,8.0,82,138
SKU0182,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,1.05,0.0035,5,15,8.0,82,138
SKU0183,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.3,0.0097,3,10,5.2,54,90
SKU0184,Riya Silk Anarkali,Dress,Silk Anarkali,1.07,0.0063,5,15,8.0,82,138
SKU0185,Vector Ethnic Juttis,Shoes,Ethnic Juttis,1.29,0.0051,3,10,5.2,54,90
SKU0186,Luna Leather Handbag,Accessories,Leather Handbag,0.43,0.0152,8,25,13.200000000000001,136,228
SKU0187,Nova Block Heels,Shoes,Block Heels,0.61,0.0073,3,10,5.2,54,90
SKU0188,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.88,0.0058,5,15,8.0,82,138
SKU0189,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.62,0.0055,3,10,5.2,54,90
SKU0190,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.4,0.0034,5,15,8.0,82,138
SKU0191,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.51,0.0137,8,25,13.200000000000001,136,228
SKU0192,Celeste Canvas Belt,Accessories,Canvas Belt,0.9,0.0134,8,25,13.200000000000001,136,228
SKU0193,Nova Block Heels,Shoes,Block Heels,0.53,0.0087,3,10,5.2,54,90
SKU0194,Orion Block Heels,Shoes,Block Heels,1.36,0.006,3,10,5.2,54,90
SKU0195,Eon Analog Watch,Accessories,Analog Watch,0.15,0.0062,8,25,13.200000000000001,136,228
SKU0196,Aanya Georgette Saree,Dress,Georgette Saree,0.9,0.0059,5,15,8.0,82,138
SKU0197,Aura Leather Handbag,Accessories,Leather Handbag,0.81,0.0056,8,25,13.200000000000001,136,228
SKU0198,Aanya Silk Anarkali,Dress,Silk Anarkali,1.05,0.0053,5,15,8.0,82,138
SKU0199,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.4,0.0038,8,25,13.200000000000001,136,228
SKU0200,Eon Leather Handbag,Accessories,Leather Handbag,0.87,0.0037,8,25,13.200000000000001,136,228
SKU0201,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.4,0.0072,5,15,8.0,82,138
SKU0202,Zoya Cotton Kurta,Dress,Cotton Kurta,1.01,0.0034,5,15,8.0,82,138
SKU0203,Orion Leather Loafers,Shoes,Leather Loafers,0.77,0.0063,3,10,5.2,54,90
SKU0204,Vector Leather Loafers,Shoes,Leather Loafers,0.98,0.0128,3,10,5.2,54,90
SKU0205,Luna Leather Handbag,Accessories,Leather Handbag,0.55,0.019,8,25,13.200000000000001,136,228
SKU0206,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.88,0.0022,5,15,8.0,82,138
SKU0207,Apex Block Heels,Shoes,Block Heels,1.19,0.0099,3,10,5.2,54,90
SKU0208,Vector Leather Loafers,Shoes,Leather Loafers,0.82,0.0065,3,10,5.2,54,90
SKU0209,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.64,0.0056,5,15,8.0,82,138
SKU0210,Apex Block Heels,Shoes,Block Heels,0.6,0.012,3,10,5.2,54,90
SKU0211,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.51,0.0053,8,25,13.200000000000001,136,228
SKU0212,Apex Block Heels,Shoes,Block Heels,0.92,0.006,3,10,5.2,54,90
SKU0213,Nova Ethnic Juttis,Shoes,Ethnic Juttis,0.87,0.0065,3,10,5.2,54,90
SKU0214,Vector Leather Loafers,Shoes,Leather Loafers,1.33,0.0059,3,10,5.2,54,90
SKU0215,Riya Linen Shirt Dress,Dress,Linen Shirt Dress,0.8,0.0055,5,15,8.0,82,138
SKU0216,Aura Analog Watch,Accessories,Analog Watch,0.47,0.0176,8,25,13.200000000000001,136,228
SKU0217,Nova Leather Loafers,Shoes,Leather Loafers,1.1,0.0085,3,10,5.2,54,90
SKU0218,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.69,0.0053,8,25,13.200000000000001,136,228
SKU0219,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.4,0.0037,5,15,8.0,82,138
SKU0220,Aanya Georgette Saree,Dress,Georgette Saree,0.85,0.0059,5,15,8.0,82,138
SKU0221,Aura Analog Watch,Accessories,Analog Watch,0.26,0.0144,8,25,13.200000000000001,136,228
SKU0222,Nova Ethnic Juttis,Shoes,Ethnic Juttis,0.51,0.0137,3,10,5.2,54,90
SKU0223,Aura Canvas Belt,Accessories,Canvas Belt,0.23,0.013,8,25,13.200000000000001,136,228
SKU0224,Riya Cotton Kurta,Dress,Cotton Kurta,0.64,0.0047,5,15,8.0,82,138
SKU0225,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.95,0.0067,5,15,8.0,82,138
SKU0226,Aura Leather Handbag,Accessories,Leather Handbag,0.24,0.0153,8,25,13.200000000000001,136,228
SKU0227,Zoya Cotton Kurta,Dress,Cotton Kurta,0.7,0.0045,5,15,8.0,82,138
SKU0228,Luna Canvas Belt,Accessories,Canvas Belt,0.35,0.0153,8,25,13.200000000000001,136,228
SKU0229,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.4,0.0061,5,15,8.0,82,138
SKU0230,Eon Canvas Belt,Accessories,Canvas Belt,0.14,0.0085,8,25,13.200000000000001,136,228
SKU0231,Aura Leather Handbag,Accessories,Leather Handbag,0.28,0.019,8,25,13.200000000000001,136,228
SKU0232,Zoya Linen Shirt Dress,Dress,Linen Shirt Dress,0.6,0.002,5,15,8.0,82,138
SKU0233,Celeste Canvas Belt,Accessories,Canvas Belt,0.22,0.0111,8,25,13.200000000000001,136,228
SKU0234,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,0.66,0.0065,5,15,8.0,82,138
SKU0235,Apex Leather Loafers,Shoes,Leather Loafers,1.42,0.0136,3,10,5.2,54,90
SKU0236,Luna Canvas Belt,Accessories,Canvas Belt,0.74,0.0089,8,25,13.200000000000001,136,228
SKU0237,Aanya Georgette Saree,Dress,Georgette Saree,1.17,0.003,5,15,8.0,82,138
SKU0238,Eon Canvas Belt,Accessories,Canvas Belt,0.18,0.017,8,25,13.200000000000001,136,228
SKU0239,Elara Georgette Saree,Dress,Georgette Saree,0.77,0.0044,5,15,8.0,82,138
SKU0240,Orion Ethnic Juttis,Shoes,Ethnic Juttis,0.83,0.0067,3,10,5.2,54,90
SKU0241,Celeste Leather Handbag,Accessories,Leather Handbag,0.92,0.0076,8,25,13.200000000000001,136,228
SKU0242,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.19,0.0059,8,25,13.200000000000001,136,228
SKU0243,Aanya Silk Anarkali,Dress,Silk Anarkali,0.46,0.0066,5,15,8.0,82,138
SKU0244,Apex Block Heels,Shoes,Block Heels,1.18,0.0138,3,10,5.2,54,90
SKU0245,Eon Analog Watch,Accessories,Analog Watch,0.24,0.0023,8,25,13.200000000000001,136,228
SKU0246,Nova Ethnic Juttis,Shoes,Ethnic Juttis,1.09,0.0085,3,10,5.2,54,90
SKU0247,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.71,0.0023,5,15,8.0,82,138
SKU0248,Vector Leather Loafers,Shoes,Leather Loafers,1.12,0.0101,3,10,5.2,54,90
SKU0249,Apex Leather Loafers,Shoes,Leather Loafers,1.41,0.0107,3,10,5.2,54,90
SKU0250,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.75,0.0077,5,15,8.0,82,138
SKU0251,Nova Leather Loafers,Shoes,Leather Loafers,1.48,0.0058,3,10,5.2,54,90
SKU0252,Aura Silver Jhumkas,Accessories,Silver Jhumkas,0.32,0.0093,8,25,13.200000000000001,136,228
SKU0253,Nova Canvas Sneakers,Shoes,Canvas Sneakers,0.87,0.0078,3,10,5.2,54,90
SKU0254,Vector Ethnic Juttis,Shoes,Ethnic Juttis,1.29,0.0115,3,10,5.2,54,90
SKU0255,Aanya Linen Shirt Dress,Dress,Linen Shirt Dress,0.8,0.0043,5,15,8.0,82,138
SKU0256,Nova Canvas Sneakers,Shoes,Canvas Sneakers,0.58,0.0116,3,10,5.2,54,90
SKU0257,Apex Ethnic Juttis,Shoes,Ethnic Juttis,0.63,0.0121,3,10,5.2,54,90
SKU0258,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,0.88,0.004,5,15,8.0,82,138
SKU0259,Elara Cotton Kurta,Dress,Cotton Kurta,0.76,0.0021,5,15,8.0,82,138
